Pre-processing Technique,Model,Max Features,Accuracy,F1 Score,Precision,Recall
LNPCount,MultiNB,"(67, 418)",1.4925373134328357,0.0004738213693437574,0.00024073182474723158,0.014925373134328358
LNPCount,Logistic,"(67, 418)",1.4925373134328357,0.0004664179104477612,0.0002369106846718787,0.014925373134328358
LNPCount,SVM,"(67, 418)",4.477611940298507,0.023383084577114424,0.01616915422885572,0.04477611940298507
LNPCount,RandomForest,"(67, 418)",2.9850746268656714,0.019189765458422173,0.017412935323383085,0.029850746268656716
LNPCount,GradientBoosting,"(67, 418)",4.477611940298507,0.03731343283582089,0.03482587064676616,0.04477611940298507
LNPCount,KNN,"(67, 418)",1.4925373134328357,0.0018656716417910447,0.0009950248756218905,0.014925373134328358
LNPCount,DecisionTree,"(67, 418)",4.477611940298507,0.01180461329715061,0.007344231224828239,0.04477611940298507
